Date,Event,Event_Type,Description
19-Oct-87,Black Monday Stock Market Crash,Economic,Largest one-day percentage decline in stock market history; triggered global financial uncertainty
20-Aug-88,Iran-Iraq War Ceasefire,Political,End of 8-year war between Iran and Iraq; increased oil supply expectations
02-Aug-90,Iraqi Invasion of Kuwait,Conflict,Iraq invaded Kuwait; triggered fears of oil supply disruption from Middle East
07-Aug-90,UN Sanctions on Iraq,Political,UN Security Council imposed comprehensive sanctions on Iraq; restricted oil exports
09-Aug-90,Operation Desert Shield Begins,Military,US-led coalition buildup in Saudi Arabia to defend against Iraqi aggression
17-Jan-91,Operation Desert Storm Begins,Military,US-led coalition launched air campaign against Iraq; heightened oil supply concerns
24-Feb-91,Ground War in Gulf War,Military,Coalition ground offensive began in Kuwait; oil facilities at risk
27-Feb-91,Kuwait Liberated,Political,Kuwait liberated from Iraqi occupation; gradual return to normal oil production
15-Mar-91,OPEC Production Increase,Policy,OPEC agreed to increase production quotas to replace lost Iraqi/Kuwaiti supply
28-Feb-91,Kuwaiti Oil Fires,Environmental,Iraqi forces set fire to Kuwaiti oil wells; massive environmental and supply impact
16-Jul-90,G7 Economic Summit,Political,Leaders discussed oil market stability amid rising tensions in Middle East
03-Aug-90,OPEC Emergency Meeting,Policy,OPEC convened emergency meeting to discuss production after Kuwait invasion
